	CO2 (0.12 eV)	CO (0.48 eV)	Iodine (0.94 eV)	InGaAsP (1.24 eV)	Ruby (1.79 eV)	HeNe (1.96 eV)	Xenon3+ (2.3 eV)	Ar (2.73 eV)	Kr (2.98 eV)	XeF-Excimer (3.51 eV)	N (3.68 eV)	XeCl-Excimer (4.03 eV)	KrF-Excimer (5.0 eV)	KrCl-Excimer (5.58 eV)	ArF-Excimer (6.42 eV)	F2-Excimer (7.9 eV)	Sm (169.84 eV)	
Cu2S (1.2 eV)	0.0%	0.0%	0.0%	96.78%	67.2%	61.25%	52.22%	44.0%	40.26%	34.17%	32.63%	29.81%	24.0%	21.49%	18.68%	15.2%	0.71%	
MoS2 (1.23 eV)	0.0%	0.0%	0.0%	99.19%	68.88%	62.78%	53.52%	45.1%	41.27%	35.02%	33.44%	30.56%	24.6%	22.02%	19.15%	15.58%	0.72%	
BP (2.0 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	87.03%	73.33%	67.11%	56.94%	54.38%	49.68%	40.01%	35.81%	31.13%	25.33%	1.18%	
GaSe (2.1 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	91.38%	77.0%	70.46%	59.79%	57.1%	52.17%	42.01%	37.6%	32.69%	26.59%	1.24%	
AlAs (2.16 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	93.99%	79.2%	72.47%	61.5%	58.73%	53.66%	43.21%	38.68%	33.62%	27.35%	1.27%	
GaP (2.26 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	98.34%	82.86%	75.83%	64.35%	61.45%	56.14%	45.21%	40.47%	35.18%	28.62%	1.33%	
SiC (3.3 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	93.95%	89.72%	81.98%	66.01%	59.09%	51.37%	41.79%	1.94%	
B12As2 (3.47 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	98.79%	94.34%	86.2%	69.41%	62.13%	54.02%	43.94%	2.04%	
C (5.47 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	97.94%	85.15%	69.27%	3.22%	
BN-hexagonal (5.96 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	92.78%	75.47%	3.51%	
BN-cubic (6.36 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	99.0%	80.54%	3.74%	
